BusinessID,Name,Cuisine,Address,Coordinates,NumberOfReviews,Rating,ZipCode
t_tWuzMEsoD9GDgAm_0l7g,Swagat,Indian,411 Amsterdam Ave,"40.78353, -73.97782",434,3.5,10024
bFUVp77ApNkACqXvgiekPQ,Bhatti Indian Grill,Indian,100 Lexington Ave,"40.74221, -73.98308",892,3.5,10016
ByJBXa3HwPqw8eSPfDObkg,Mint Heights,Indian,46 Henry St,"40.699657772028765, -73.99217437260721",112,4.5,11201
zi4fUgOwwGB5PYR2xq0OCQ,Namaste India,Indian,880 River Rd,"40.82533, -73.97495",332,4.0,07020
_nScWpFX3M1K7s30hFEsRw,INDAY,Indian,1133 Broadway,"40.7434986, -73.9892206",411,4.0,10010
3oouzI_wb6V50qvS8hAeWQ,Chai Pani by Wonder,Indian,2030 Broadway,"40.77671, -73.98184",2,3.0,10023
KXD44wWmrGf7mzyyr0bikw,P.S. Kitchen,Indian,246 W 48th St,"40.760706, -73.986627",710,4.5,10036
fCxjrytrEw_l9vGjSCzszg,Paisley,Indian,429 Greenwich St,"40.722387, -74.0095662",101,4.5,10013
yx8cpBwPttpdBvm4V1EawQ,Joy Curry & Tandoor,Indian,148 E 46th St,"40.75352, -73.9736117202377",238,4.0,10017
0s8rxDQhglhh28BLz-80qw,Mysttik Masaala,Indian,90 Park Ave,"40.75074, -73.97936",22,4.5,10016
HsEmXckXmsRAAEVDFCGYYg,Namaste,Indian,31-15 30th Ave,"40.7668, -73.92068",578,4.0,11102
jvPYm9rYK-5ddnjU30Oz4Q,Avant Garden,Indian,95 Avenue A,"40.72567325788113, -73.98408189999999",436,4.5,10009
mHRu4KZXYM_RwyFXBGncsA,INDAY All Day,Indian,658 Driggs Ave,"40.71471, -73.95921",54,4.5,11211
8vYGvXF4OyKv2KV0-iIxrA,Tikka Indian Grill,Indian,34-14 30th Ave,"40.76534, -73.91868",323,4.5,11103
GVaTZnN7a-DkrK57l7BbGw,Boishakhi Restaurant,Indian,2914 36th Ave,"40.7569548876687, -73.9310011267662",106,4.0,11106
D_xGTuIZqh1g6ie9QybcYw,Bawarchi Indian Cuisine,Indian,1546 Madison Ave,"40.792804, -73.950393",133,4.0,10029
yV7brOiTLS3Lmwws8e3nXA,Dil-e Punjab Deli,Indian,170 9th Ave,"40.74482, -74.00206",215,4.5,10011
MtZaEGCm6zdAV8W4TWlerQ,Masti Indian Grill & Chatt Bar,Indian,184 Havemeyer St,"40.710625, -73.9583",124,4.5,11211
-C0NqgITsdu5Oet0eFQNbg,Laree Adda,Indian,287 Grove St,"40.718138, -74.044042",133,4.0,07302
PEEw2ip9VrmiMBP4b6op_g,Govinda's Vegetarian Lunch,Indian,305 Schermerhorn St,"40.68771, -73.98241",185,4.5,11217
qs5aBgcT2v1BFlW-XqQS0Q,Biryani Cart,Indian,46th St & 6th Ave,"40.757403, -73.9822503",564,3.5,10003
bgMbt6XbOaAu5VNXr5kCdQ,Polash,Indian,2179 3rd Ave,"40.79965, -73.93855",233,4.0,10035
t0mizbevBMMNBecgnl7vQg,Anar,Indian,935 Amsterdam Ave,"40.800232646589066, -73.96559153149137",117,4.0,10025
wSCZdZgMG_SXAh0AwxHw9Q,Ammi,Indian,25 11th Ave,"40.74328740195657, -74.00910522916887",5,4.5,10011
UtknyDJ_DPut-FKRqs0wpQ,Royal Grill Halal Food,Indian,44TH St And 6th Ave,"40.75621073292354, -73.98334948251191",548,4.5,10018
9x95RpLEIDRWG2Y9w4qz4Q,INDAY,Indian,708 3rd Ave,"40.75233, -73.97353",138,4.0,10017
vzWzMCmb5U2vOmrcOV_V2A,Khazana Indian Restaurant,Indian,10-57 Jackson Ave,"40.74277, -73.95271",1,4.0,11101
x-T3WaLPnbVrxc-ruzFhyQ,Mughlai Indian Cuisine,Indian,120 Cedar St,"40.70953534633694, -74.01278923745791",33,4.5,10006
x3NeZ4xToUxVKDoZ32D5tg,NY Dosas,Indian,50 Washington Sq S,"40.73057418711454, -73.99883669999876",542,4.5,10014
6NcU2JAznLr9dDHp6GgQyw,Doaba Deli,Indian,945 Columbus Ave,"40.7994, -73.9624",251,4.5,10025
Y2I946V78wOdwaUD9chmqg,Roti Roll Bombay Frankie,Indian,994 Amsterdam Ave,"40.8026, -73.96437",426,4.0,10025
7YJxZAvMxB-oVZfHAuvBmw,Lakruwana Restaurant,Indian,668 Bay St,"40.62571, -74.075373",429,4.5,10304
Gxlxu7Rug2tM_V7sS4x6fQ,Tadka Indian Cuisine,Indian,13-15 43rd Ave,"40.75096, -73.94578",39,4.0,11101
HFIu45xr93jqchnN1YVJeQ,Masalawala & Sons,Indian,365 5th Ave,"40.67148382626093, -73.9842655",91,4.0,11215
xWUL-j6TQyKQHIfOtetu-Q,HanGawi,Indian,12 E 32nd St,"40.746612323020926, -73.98476051936564",1381,4.0,10016
NKI1VvfXYluRjnq4S6yEuw,Divya's Kitchen,Indian,25 1st Ave,"40.72378, -73.98849",477,4.5,10003
WWpOWqOgS9ClYvxYVzR0lg,Tikka Indian Grill,Indian,185 Grand St,"40.71441, -73.96078",380,4.0,11211
8Nva_eS_FxPOqVuUOvqz_Q,Indian Summer Harlem,Indian,239 Lenox Ave,"40.805898, -73.947324",166,4.5,10027
gsZUN1Vtpd3P7rdvANbrmg,Indian Kitchen,Indian,739 Grand St,"40.711924, -73.943326",218,4.0,11211
lIXVm16VchbDXOf7v4hxMA,Haandi,Indian,113 Lexington Ave,"40.7424, -73.98237",338,3.5,10016
ZRzG614HER-6fhZ3-MrEHw,TAGMO,Indian,226 Front St,"40.70762, -74.00214",74,4.0,10038
8AM1gGIk6KVb27Q9TYwD9Q,Green Symphony,Indian,255 W 43rd St,"40.75796, -73.988714",478,4.0,10036
KbCLZOKvPdNY7ptAg0kGxw,The Kati Roll Company,Indian,229 E 53rd St,"40.757396, -73.9681074",352,3.5,10022
EPHhPGDFvnq2ARTBxAikuw,Milon,Indian,93 1st Ave,"40.726322, -73.986648",518,3.5,10003
XUataECnaOfdo4a87NqEFg,Samudra,Indian,75-18 37th Ave,"40.7490953, -73.8903772",632,4.0,11372
FqYgcc7Mk2XrYJ10OGgghQ,Himalayan Curry House Restaurant and Bar,Indian,220 E 53rd St,"40.757199, -73.96858",82,4.0,10022
nBoOm-TAhRvbcDkHfKOwGg,Swagat Indian Restaurant,Indian,205 W 29th St,"40.748161, -73.993194",115,3.0,10001
tfGKVbzMHq4mhVBzrDnVWQ,Lahori Kabab Restaurant,Indian,106 Lexington Ave,"40.742411, -73.9829868",102,3.5,10016
FQi7AP2j9UYc1c-VTF00rA,Wok In The Clouds,Indian,127 E 28th St,"40.7429, -73.9828",30,4.5,10016
j0n_poMVZnODYOFviLbh0Q,taim mediterranean kitchen - West Village,Indian,222 Waverly Pl,"40.736002376347, -74.0019588366439",1587,4.5,10014
ATrDmKiZ-YrAcG3hR7LLgg,Tadka Fine Indian Cuisine,Indian,1297 Paterson Plank Rd,"40.79015, -74.05819",136,3.5,07094
hfCU-GH8GP6vjAknXUyhKQ,Cardamom Indian cuisine,Indian,43-45 43rd St,"40.743889234185886, -73.92121686092719",251,4.5,11104
DOdbSGm9ULZlVz-1-Jjhmg,Chote Nawab,Indian,115 Lexington Ave,"40.742462, -73.982322",599,3.5,10016
NzU2hb0z0jGEOOv0-zTLEQ,Sigiri,Indian,91 1st Ave,"40.726261, -73.986686",664,4.0,10003
e5c8jGklVNKoaURcDsVxgQ,Curry Up Now,Indian,91 Washington St,"40.737095, -74.030759",259,4.0,07030
fjjzAn0j6zCs2SNViuNfwQ,Kailash Parbat,Indian,99 Lexington Ave,"40.74206, -73.98273",368,3.5,10016
7G-Ud62Mpi-YhEjQOjCHhg,Cumin N Eat,Indian,700 Plaza Dr,"40.785867, -74.044791",172,4.5,07094
3rZwXDjkyDLAHNSdPUI5WA,Korai Kitchen,Indian,576 Summit Ave,"40.733896, -74.059151",331,5.0,07306
tzjjjhNUPDzaa8_kkvcDQg,Empyrean Indian Kitchen & Bar,Indian,20 Hudson Pl,"40.736066251998736, -74.02880689096021",192,4.5,07030
JZ45uaCB6SLBYng22_dplQ,Lasani,Indian,539 9th Ave,"40.757074, -73.993915",30,4.0,10018
Y6Q4uhE-GsP2iykSW9oJPw,Rudra Indian Bistro,Indian,561 Cedar Ln,"40.89044, -74.02528",101,4.5,07666
3Fk5JCRQK78fVVjbqEgbMg,Amma Grill,Indian,349 E 109th St,"40.791831, -73.93892",3,5.0,10029
o5sUOmtzcHAeSWtUuFJ00g,Anjappar Chettinad Restaurant,Indian,116 Lexington Ave,"40.742603, -73.982795",382,3.5,10016
jUkSkpxsJxiTa5C-H5pnyw,Tikka N Talk,Indian,70-11 Austin St,"40.72097, -73.84639",130,4.5,11375
_Hig4rf_SEAhq13eBdJ4CQ,Kismat Indian Restaurant,Indian,603 Fort Washington Ave,"40.85533018425771, -73.9370321",398,3.5,10040
fFkqEyupjc5x2iJQIPcpLw,Ruffian,Indian,125 E 7th St,"40.7264, -73.98411",270,4.5,10009
6JNvLxm0PqgiuoiSXC9OOg,Neem Indian Cuisine,Indian,3549 Johnson Ave,"40.886547, -73.909968",105,4.0,10463
Rk6TXh7nINbzJoGtI2C5cA,Desi Galli,Indian,172 Avenue B,"40.72739, -73.97978",141,3.5,10009
qTJvCBgticMA-opC6P6yzg,Rang,Indian,11-03 44th Ave,"40.7500749267213, -73.94893907411615",18,4.0,11101
YM5AbOOg-TjuHJrQmfd0Hw,Desi Galli,Indian,101 Lexington Ave,"40.74211, -73.9826",338,3.5,10016
ODpSYoZ8fkaX3UaDzBLhsg,Kamal Palace,Indian,623 Ridge Rd,"40.798642, -74.126354",262,4.0,07031
7lztzQTF79er1RydVnPiDg,Noi Due,Indian,491 Columbus Ave,"40.7848351, -73.9730166",265,3.5,10024
U3hvDT5CtQrnpg2zhJg3mQ,Kashmir 9 - Cuisine of Pakistan,Indian,478 9th Ave,"40.7549782340085, -73.9948511123657",222,3.5,10018
niivJKBqY5wToDukqZHetQ,Karma Kafe,Indian,505 Washington St,"40.74238, -74.02909",789,4.0,07030
ogEtpbCgxv38PyB3ebivqQ,Yaar Indian Restaurant,Indian,22-55 31st St,"40.774803026853, -73.9120166023413",451,4.5,11105
DY3RKjbIT3G8URhVEvQ_UA,Shirley's India,Indian,1 Leroy Pl,"40.90748312207788, -73.7823219116449",74,4.5,10805
9heTBCW1DDAKyO0GrY3Nxw,Delhi Masala,Indian,2077 Adam Clayton Powell Jr Blvd,"40.80799, -73.94856",187,4.0,10027
rp_TaJRjaNmOCb8vJ2S_sw,Blossom on Columbus,Indian,507 Columbus Ave Flr Grd,"40.78537, -73.97282",519,4.0,10024
Y8ZCMr7vNMspTjEi6VWgxA,Taco Mahal,Indian,653 9th Ave,"40.76091684980952, -73.9912468",133,4.0,10036
LNhrLmbt65wx2aBSYn77nQ,Indian Paratha Gali,Indian,40-05 Skillman Ave,"40.747425, -73.923214",6,5.0,11104
EbX_9tqAJs4gW51gZpOB7g,Rasa,Indian,25 W 8th St,"40.7327654, -73.9975674",850,4.0,10011
KhzQ-9jzOLOtrKXSxoC-uw,Bombay Grill,Indian,155 8th Ave,"40.74218, -74.001106",1,5.0,10011
hKKDfUPcDX_c-RCWBMOr1w,Bombay Sandwich Co.,Indian,48 W 27th St,"40.7450715521913, -73.990359620218",464,4.0,10001
PAwsjlbOKfLEcJcTHUopzg,INDAY Express,Indian,133 W 38th St,"40.75350032958211, -73.9875741",10,4.0,10018
Gni26uzPdfkCSagKEcFP2g,Lore,Indian,441 7th Ave,"40.66316670737584, -73.9845233117843",67,4.5,11215
rpzgv0Y6fIT6RcBsxFsrSg,Paratha Wala,Indian,103-09 Metropolitan Ave,"40.71044, -73.84942",539,4.5,11375
noBCTbD1Ylf5QR7PXy-rkA,Cafe Himalaya,Indian,78 E 1st St,"40.7232289034083, -73.9879441220901",684,4.0,10009
yb9o5T88FPUXYOzxyXlUcw,Ganesh Temple Canteen,Indian,143-09 Holly Ave,"40.75262, -73.816511",303,4.5,11355
wQjQHZKH_DxwntbSe1QdxQ,Brick Lane Curry House,Indian,79 2nd Ave,"40.7265407754881, -73.9893999248542",1009,3.5,10003
6yDDPOliaxgPjiv97JVPuA,Fresh Curry,Indian,183 Church St,"40.715694571538535, -74.00709572779189",6,4.0,10007
1SgiWHlFN5mp5gNLSGx2Ww,Panna II Garden Indian Restaurant,Indian,93 1st Ave,"40.726326, -73.986556",1175,3.0,10003
1_AQYSCRFn3KCsZ50m5ymQ,Manhattan Halal Restaurant,Indian,156 W 29th St,"40.7473849, -73.9923965",2,4.0,10001
HM7Mz6Hpxts58JJP7qELNQ,Eggmania,Indian,14 Liberty Ave,"40.7360784317498, -74.0648451989719",341,4.0,07306
WiH4AnftXMuv6pI4X5Z7_A,Lahore Restaurant,Indian,1277 Paterson Plank Rd,"40.78977, -74.05742",109,4.0,07094
FZ0fKxW-d6Qc70IjDQIQKA,My Biryani,Indian,"1133 6th avenue , 44th street","40.75605, -73.98386",17,4.5,10036
h0Z2RZBZbiqS-Yw22WyTaQ,Maharaja Palace,Indian,2113 Frederick Douglass Blvd,"40.8033065717907, -73.9562846158103",183,3.5,10026
aqqryBys95aNjYqri9OmJg,Bricklane Curry House,Indian,40-05 Skillman Ave,"40.747467, -73.92322",1,5.0,11104
JvV8sTgUX6abRQPzb3hLgg,Asian Curry Hut,Indian,534 9th Ave,"40.75674, -73.99347",130,3.5,10018
1gK-0_lGqjxbwiHWcXXdzg,abcV,Indian,38 E 19th St,"40.738058, -73.989289",670,4.0,10003
4x4M_p_b8GvLkc4fe00GHA,Biryani House Cart,Indian,140 Broadway,"40.70865, -74.01011",168,4.0,10005
PdzL9svqapSqH4o8bF86Pw,Punjabi Grocery & Deli,Indian,114 E 1st St,"40.7227225423661, -73.9866224576721",459,4.5,10009
9DceMTrjyVqBgQRqgR6GWw,Red Bamboo,Indian,140 W 4th St,"40.7311846, -74.00042619999999",1840,4.0,10012
YDtIHtfvWd4W36wq6UAjoA,Kitchen Grill,Indian,914 A Fulton St,"40.6827929, -73.9644377",333,4.5,11238
eax3yNyNo_0RzgkEWmPkKw,Gulab Indian Restaurant,Indian,629 Palisade Ave,"40.824056, -73.984792",17,5.0,07010
ml3ASw5_B5XLnd9kE8xx3g,Salt & Pepper,Indian,139 W 33rd St,"40.7498789, -73.9900547",100,3.0,10001
